idInmueble;urlInmueble;fuenteInfo;tipoInmueble;tipoOperacion;precio;habitaciones;tamano;planta;distrito;ciudad;fecha;eficienciaEnergetica;ascensor;terraza;trastero;garaje;balcon;aireAcondicinado;piscina;banos
158158348;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/158158348/d;fotocasa;0;2;1150;2;62;2;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;False;1
158157977;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/cuatro-caminos---azca/158157977/d;fotocasa;0;2;750;1;50;0;tetuan;madrid-capital;06/01/2021;C;False;False;False;No-detallado;False;False;False;1
157951851;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor-amueblado-se-aceptan-mascotas/157951851/d;fotocasa;0;2;615;1;46;0;tetuan;madrid-capital;06/01/2021;C;True;False;True;No-detallado;False;True;False;1
158154934;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-terraza-trastero-ascensor/158154934/d;fotocasa;0;2;900;2;86;1;tetuan;madrid-capital;06/01/2021;C;True;True;True;No-detallado;False;False;False;1
158153397;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-ascensor-piscina-piscina/158153397/d;fotocasa;0;2;1190;2;63;1;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;True;True;1
157423527;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor/157423527/d;fotocasa;0;2;750;2;50;4;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;False;False;False;1
158147711;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/calefaccion-ascensor-se-aceptan-mascotas-no-amueblado/158147711/d;fotocasa;0;2;950;2;100;1;tetuan;madrid-capital;06/01/2021;C;True;False;False;No-detallado;True;False;False;3
158147695;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-trastero-ascensor-amueblado/158147695/d;fotocasa;0;2;600;1;50;1;tetuan;madrid-capital;06/01/2021;C;True;False;True;No-detallado;False;True;False;1
158147616;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/terraza-ascensor-se-aceptan-mascotas-no-amueblado/158147616/d;fotocasa;0;2;750;1;60;4;tetuan;madrid-capital;06/01/2021;C;True;True;False;No-detallado;False;False;False;1
157930699;https://www.fotocasa.es/es/alquiler/vivienda/madrid-capital/aire-acondicionado-parking-terraza-ascensor/157930699/d;fotocasa;0;2;950;1;60;0;tetuan;madrid-capital;06/01/2021;C;True;True;False;Privado;False;True;False;1
