tipoInmueble;tipoOperacion;precio;habitaciones;tamano;planta;distrito;ciudad;eficienciaEnergetica;ascensor;terraza;trastero;garaje;balcon;aireAcondicinado;piscina;banos
0;1;495000;3;134;2;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;554000;4;158;1;barajas;madrid-capital;C;True;True;False;Privado;False;True;True;3
0;1;240000;4;100;1;barajas;madrid-capital;C;False;True;False;No-detallado;False;False;False;1
0;1;272000;3;93;6;barajas;madrid-capital;C;True;True;False;No-detallado;False;True;False;1
0;1;746000;5;215;0;barajas;madrid-capital;C;False;True;True;Privado;True;True;True;4
0;1;345000;3;117;2;barajas;madrid-capital;C;True;True;False;Privado;False;True;False;2
0;1;240000;1;63;2;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;1
0;1;465000;3;128;3;barajas;madrid-capital;C;True;False;True;Comunitario;False;True;True;2
0;1;370000;4;120;0;barajas;madrid-capital;C;True;True;False;Privado;False;False;True;3
0;1;369000;3;138;1;barajas;madrid-capital;C;True;False;False;Privado;False;True;False;2
0;1;422200;3;118;1;barajas;madrid-capital;C;True;True;True;Privado;False;False;True;2
0;1;895000;5;407;0;barajas;madrid-capital;C;False;True;False;Privado;True;True;True;3
0;1;495000;3;134;2;barajas;madrid-capital;C;True;False;True;Privado;False;True;True;2
0;1;649000;4;187;0;barajas;madrid-capital;C;True;True;True;Privado;False;True;True;2
0;1;345000;3;114;0;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;True;2
0;1;775000;4;369;0;barajas;madrid-capital;C;False;False;False;No-detallado;False;False;False;5
0;1;742000;4;296;0;barajas;madrid-capital;C;False;False;True;Privado;False;True;True;3
0;1;554000;4;158;1;barajas;madrid-capital;C;True;True;False;Privado;False;True;True;3
0;1;280000;3;102;1;barajas;madrid-capital;C;True;True;False;No-detallado;False;False;True;2
0;1;820000;5;297;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;False;3
0;1;235000;2;78;0;barajas;madrid-capital;C;True;True;False;Comunitario;False;False;False;2
0;1;435000;3;142;2;barajas;madrid-capital;C;True;False;True;Comunitario;True;False;True;2
0;1;194000;1;50;0;barajas;madrid-capital;C;True;False;False;Comunitario;False;False;False;1
0;1;167000;3;77;2;barajas;madrid-capital;C;False;True;False;Comunitario;True;True;False;1
0;1;798900;4;262;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;False;3
0;1;138000;0;35;3;barajas;madrid-capital;C;True;False;False;No-detallado;False;True;False;1
0;1;590000;4;300;0;barajas;madrid-capital;C;False;True;True;Privado;False;True;False;5
0;1;422200;3;117;1;barajas;madrid-capital;C;True;False;True;Comunitario;False;False;False;2
0;1;750000;3;245;0;barajas;madrid-capital;C;False;True;True;No-detallado;False;False;False;3
0;1;720000;3;298;0;barajas;madrid-capital;C;False;True;True;No-detallado;False;False;False;3
0;1;700000;3;272;0;barajas;madrid-capital;C;False;True;True;No-detallado;False;False;False;3
0;1;780000;3;270;0;barajas;madrid-capital;C;False;True;True;No-detallado;False;False;False;3
0;1;280000;2;70;1;barajas;madrid-capital;C;True;True;True;Privado;False;True;False;1
0;1;265000;2;70;1;barajas;madrid-capital;C;True;False;False;No-detallado;False;False;True;1
0;1;245000;2;82;3;barajas;madrid-capital;C;False;True;True;No-detallado;False;False;False;1
0;1;690000;3;153;6;barajas;madrid-capital;C;True;True;True;Comunitario;False;True;True;2
